id,tour_id,content,language,rating,reviewer_name,created_at
60,15,"Gia đình mình hài lòng với tour Huế, nhịp đi vừa phải và dễ tham gia.",vi,8.7,Hoàng Nam,2026-06-10 08:00:00
61,15,"Gia đình mình hài lòng với tour Huế, nhịp đi vừa phải và dễ tham gia.",vi,9.8,Phương Linh,2025-08-28 08:00:00
62,16,"Đi TP. Hồ Chí Minh khá vui, điểm tham quan đẹp, phù hợp nhóm thích shopping.",vi,8.9,Hoàng Nam,2025-09-21 08:00:00
63,16,"Tour TP. Hồ Chí Minh lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm city rất rõ.",vi,9.6,Thu Hà,2025-11-02 08:00:00
64,16,"Tour TP. Hồ Chí Minh lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm nightlife rất rõ.",vi,9.9,Phương Linh,2026-03-19 08:00:00
65,17,"Gia đình mình hài lòng với tour Phú Quốc, nhịp đi vừa phải và dễ tham gia.",vi,9.6,Hoàng Nam,2025-06-01 08:00:00
66,17,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động luxury, đáng cân nhắc.",vi,8.2,Minh Anh,2025-09-14 08:00:00
67,17,"Gia đình mình hài lòng với tour Phú Quốc, nhịp đi vừa phải và dễ tham gia.",vi,8.8,Quốc Bảo,2026-06-05 08:00:00
68,17,"Tour Phú Quốc lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm water_sports rất rõ.",vi,9.4,Gia Huy,2026-07-04 08:00:00
69,18,"Gia đình mình hài lòng với tour Huế, nhịp đi vừa phải và dễ tham gia.",vi,7.9,Hoàng Nam,2026-07-17 08:00:00
70,18,"Gia đình mình hài lòng với tour Huế, nhịp đi vừa phải và dễ tham gia.",vi,9.1,Thu Hà,2025-01-21 08:00:00
71,18,"Đi Huế khá vui, điểm tham quan đẹp, phù hợp nhóm thích food.",vi,7.6,Gia Huy,2026-01-06 08:00:00
72,19,"Mình thích phần beach, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,9.8,Hoàng Nam,2025-06-07 08:00:00
73,19,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động city, đáng cân nhắc.",vi,8.3,Quốc Bảo,2026-02-06 08:00:00
74,20,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động photography, đáng cân nhắc.",vi,7.1,Thu Hà,2026-07-30 08:00:00
75,20,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động history, đáng cân nhắc.",vi,9.3,Hoàng Nam,2025-06-08 08:00:00
76,20,"Đi Hội An khá vui, điểm tham quan đẹp, phù hợp nhóm thích romantic.",vi,7.5,Phương Linh,2026-06-08 08:00:00
77,20,"Tour Hội An lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm food rất rõ.",vi,7.3,Minh Anh,2026-08-06 08:00:00
78,20,"Tour Hội An lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm beach rất rõ.",vi,7.4,Quốc Bảo,2025-01-07 08:00:00
79,21,"Tour Nha Trang lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm beach rất rõ.",vi,9.0,Hoàng Nam,2025-09-09 08:00:00
80,21,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động food, đáng cân nhắc.",vi,9.3,Quốc Bảo,2025-02-10 08:00:00
81,22,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động food, đáng cân nhắc.",vi,8.8,Quốc Bảo,2026-03-17 08:00:00
82,22,"Tour Đà Lạt lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm spiritual rất rõ.",vi,6.5,Quốc Bảo,2025-08-05 08:00:00
83,23,"Tour Sa Pa lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm adventure rất rõ.",vi,7.9,Gia Huy,2025-07-30 08:00:00
84,23,"Tour Sa Pa lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm adventure rất rõ.",vi,8.6,Phương Linh,2026-03-04 08:00:00
85,24,"Đi Đà Nẵng khá vui, điểm tham quan đẹp, phù hợp nhóm thích city.",vi,7.1,Quốc Bảo,2025-06-10 08:00:00
86,24,"Gia đình mình hài lòng với tour Đà Nẵng, nhịp đi vừa phải và dễ tham gia.",vi,7.8,Thu Hà,2025-06-01 08:00:00
87,24,"Tour Đà Nẵng lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm romantic rất rõ.",vi,9.5,Minh Anh,2025-01-10 08:00:00
88,24,"Đi Đà Nẵng khá vui, điểm tham quan đẹp, phù hợp nhóm thích food.",vi,8.2,Minh Anh,2026-05-14 08:00:00
89,25,"Tour Đà Lạt lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm family rất rõ.",vi,9.7,Thu Hà,2025-06-20 08:00:00
90,25,"Đi Đà Lạt khá vui, điểm tham quan đẹp, phù hợp nhóm thích nature.",vi,8.7,Quốc Bảo,2025-06-11 08:00:00
91,25,"Gia đình mình hài lòng với tour Đà Lạt, nhịp đi vừa phải và dễ tham gia.",vi,10.0,Hoàng Nam,2025-01-17 08:00:00
92,25,"Mình thích phần romantic, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,8.4,Thu Hà,2025-05-03 08:00:00
93,26,"Mình thích phần beach, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,10.0,Phương Linh,2026-02-20 08:00:00
94,26,"Đi Đà Lạt khá vui, điểm tham quan đẹp, phù hợp nhóm thích history.",vi,8.9,Quốc Bảo,2025-08-06 08:00:00
95,26,"Gia đình mình hài lòng với tour Đà Lạt, nhịp đi vừa phải và dễ tham gia.",vi,10.0,Gia Huy,2026-03-22 08:00:00
96,27,"Mình thích phần photography, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,9.1,Quốc Bảo,2026-03-13 08:00:00
97,27,"Đi Sa Pa khá vui, điểm tham quan đẹp, phù hợp nhóm thích mountain.",vi,8.2,Minh Anh,2026-04-02 08:00:00
98,27,"Đi Sa Pa khá vui, điểm tham quan đẹp, phù hợp nhóm thích mountain.",vi,8.4,Minh Anh,2026-05-07 08:00:00
99,27,"Tour Sa Pa lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm mountain rất rõ.",vi,8.0,Quốc Bảo,2026-02-04 08:00:00
100,27,"Gia đình mình hài lòng với tour Sa Pa, nhịp đi vừa phải và dễ tham gia.",vi,7.6,Phương Linh,2025-10-31 08:00:00
101,28,"Mình thích phần nightlife, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,8.2,Phương Linh,2025-08-02 08:00:00
102,28,"Gia đình mình hài lòng với tour Côn Đảo, nhịp đi vừa phải và dễ tham gia.",vi,8.3,Hoàng Nam,2025-06-24 08:00:00
103,28,"Mình thích phần wildlife, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,8.8,Thu Hà,2026-05-08 08:00:00
104,28,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động relax, đáng cân nhắc.",vi,9.0,Thu Hà,2025-11-24 08:00:00
105,29,"Đi Phú Quốc khá vui, điểm tham quan đẹp, phù hợp nhóm thích luxury.",vi,6.9,Gia Huy,2026-01-02 08:00:00
106,29,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động family, đáng cân nhắc.",vi,6.6,Minh Anh,2026-07-18 08:00:00
107,30,"Gia đình mình hài lòng với tour Sa Pa, nhịp đi vừa phải và dễ tham gia.",vi,8.5,Hoàng Nam,2025-08-26 08:00:00
108,30,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động nature, đáng cân nhắc.",vi,7.0,Minh Anh,2026-02-21 08:00:00
109,30,"Tour Sa Pa lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm photography rất rõ.",vi,7.5,Hoàng Nam,2025-03-18 08:00:00
110,30,"Tour Sa Pa lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm mountain rất rõ.",vi,8.0,Phương Linh,2025-11-04 08:00:00
111,30,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động spiritual, đáng cân nhắc.",vi,6.3,Hoàng Nam,2025-12-22 08:00:00
112,30,"Gia đình mình hài lòng với tour Sa Pa, nhịp đi vừa phải và dễ tham gia.",vi,8.4,Quốc Bảo,2026-07-19 08:00:00
113,31,"Mình thích phần photography, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,9.1,Phương Linh,2025-04-25 08:00:00
114,31,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động cruise, đáng cân nhắc.",vi,9.1,Quốc Bảo,2026-02-26 08:00:00
115,32,"Đi Phú Quốc khá vui, điểm tham quan đẹp, phù hợp nhóm thích spiritual.",vi,6.2,Hoàng Nam,2026-03-23 08:00:00
116,32,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động family, đáng cân nhắc.",vi,6.5,Phương Linh,2025-01-22 08:00:00
117,32,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động wildlife, đáng cân nhắc.",vi,7.7,Phương Linh,2025-11-09 08:00:00
118,32,"Mình thích phần wildlife, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,8.5,Minh Anh,2025-10-07 08:00:00
119,33,"Gia đình mình hài lòng với tour Hội An, nhịp đi vừa phải và dễ tham gia.",vi,9.5,Hoàng Nam,2026-05-10 08:00:00
120,33,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động culture, đáng cân nhắc.",vi,8.6,Minh Anh,2025-01-23 08:00:00
121,33,"Tour Hội An lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm mountain rất rõ.",vi,9.9,Phương Linh,2025-10-06 08:00:00
122,33,"Gia đình mình hài lòng với tour Hội An, nhịp đi vừa phải và dễ tham gia.",vi,8.9,Hoàng Nam,2025-08-21 08:00:00
123,34,"Tour Cao Bằng lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm mountain rất rõ.",vi,8.4,Quốc Bảo,2026-04-18 08:00:00
124,34,"Tour Cao Bằng lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm mountain rất rõ.",vi,6.4,Phương Linh,2026-01-31 08:00:00
125,34,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động adventure, đáng cân nhắc.",vi,8.0,Thu Hà,2025-04-20 08:00:00
126,34,"Đi Cao Bằng khá vui, điểm tham quan đẹp, phù hợp nhóm thích budget.",vi,7.8,Gia Huy,2026-04-19 08:00:00
127,34,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động shopping, đáng cân nhắc.",vi,7.5,Thu Hà,2026-07-20 08:00:00
128,34,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động adventure, đáng cân nhắc.",vi,7.9,Phương Linh,2025-01-25 08:00:00
129,35,"Gia đình mình hài lòng với tour Hội An, nhịp đi vừa phải và dễ tham gia.",vi,7.7,Phương Linh,2025-06-23 08:00:00
130,35,"Mình thích phần food, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,7.1,Gia Huy,2026-04-11 08:00:00
131,35,"Gia đình mình hài lòng với tour Hội An, nhịp đi vừa phải và dễ tham gia.",vi,6.9,Gia Huy,2025-03-01 08:00:00
132,36,"Mình thích phần mountain, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,9.1,Hoàng Nam,2025-12-18 08:00:00
133,36,"Gia đình mình hài lòng với tour Đà Lạt, nhịp đi vừa phải và dễ tham gia.",vi,8.3,Thu Hà,2026-04-30 08:00:00
134,36,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động food, đáng cân nhắc.",vi,7.9,Phương Linh,2025-07-05 08:00:00
135,36,"Mình thích phần nature, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,8.6,Hoàng Nam,2025-09-24 08:00:00
136,36,"Gia đình mình hài lòng với tour Đà Lạt, nhịp đi vừa phải và dễ tham gia.",vi,8.9,Thu Hà,2025-04-19 08:00:00
137,37,"Gia đình mình hài lòng với tour Huế, nhịp đi vừa phải và dễ tham gia.",vi,10.0,Quốc Bảo,2025-07-30 08:00:00
138,37,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động water_sports, đáng cân nhắc.",vi,9.1,Gia Huy,2025-07-03 08:00:00
139,37,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động spiritual, đáng cân nhắc.",vi,10.0,Quốc Bảo,2025-03-11 08:00:00
140,37,"Gia đình mình hài lòng với tour Huế, nhịp đi vừa phải và dễ tham gia.",vi,7.6,Minh Anh,2025-03-16 08:00:00
141,37,"Tour Huế lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm water_sports rất rõ.",vi,10.0,Gia Huy,2025-12-07 08:00:00
142,38,"Gia đình mình hài lòng với tour Đà Nẵng, nhịp đi vừa phải và dễ tham gia.",vi,9.9,Hoàng Nam,2025-06-08 08:00:00
143,38,"Đi Đà Nẵng khá vui, điểm tham quan đẹp, phù hợp nhóm thích shopping.",vi,9.1,Hoàng Nam,2025-09-28 08:00:00
144,39,"Tour Côn Đảo lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm shopping rất rõ.",vi,8.0,Quốc Bảo,2025-01-22 08:00:00
145,39,"Đi Côn Đảo khá vui, điểm tham quan đẹp, phù hợp nhóm thích shopping.",vi,7.5,Hoàng Nam,2025-02-16 08:00:00
146,40,"Tour Đà Lạt lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm food rất rõ.",vi,8.0,Thu Hà,2025-11-01 08:00:00
147,40,"Gia đình mình hài lòng với tour Đà Lạt, nhịp đi vừa phải và dễ tham gia.",vi,8.8,Phương Linh,2026-02-22 08:00:00
148,40,"Gia đình mình hài lòng với tour Đà Lạt, nhịp đi vừa phải và dễ tham gia.",vi,6.9,Minh Anh,2024-12-23 08:00:00
149,40,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động mountain, đáng cân nhắc.",vi,6.7,Quốc Bảo,2026-07-22 08:00:00
150,40,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động photography, đáng cân nhắc.",vi,7.6,Hoàng Nam,2026-01-09 08:00:00
151,40,"Mình thích phần food, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,7.1,Minh Anh,2025-02-06 08:00:00
152,41,"Gia đình mình hài lòng với tour Đà Nẵng, nhịp đi vừa phải và dễ tham gia.",vi,8.6,Quốc Bảo,2025-10-08 08:00:00
153,41,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động family, đáng cân nhắc.",vi,9.6,Thu Hà,2026-04-23 08:00:00
154,42,"Tour Hà Nội lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm spiritual rất rõ.",vi,7.8,Gia Huy,2026-04-07 08:00:00
155,42,"Mình thích phần city, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,10.0,Hoàng Nam,2025-02-02 08:00:00
156,42,"Gia đình mình hài lòng với tour Hà Nội, nhịp đi vừa phải và dễ tham gia.",vi,9.7,Gia Huy,2026-03-28 08:00:00
157,42,"Gia đình mình hài lòng với tour Hà Nội, nhịp đi vừa phải và dễ tham gia.",vi,9.7,Thu Hà,2026-01-24 08:00:00
158,42,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động history, đáng cân nhắc.",vi,7.8,Gia Huy,2025-12-06 08:00:00
159,42,"Đi Hà Nội khá vui, điểm tham quan đẹp, phù hợp nhóm thích city.",vi,7.7,Phương Linh,2025-07-21 08:00:00
160,43,"Gia đình mình hài lòng với tour Hội An, nhịp đi vừa phải và dễ tham gia.",vi,7.6,Minh Anh,2026-01-04 08:00:00
161,43,"Mình thích phần culture, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,8.3,Phương Linh,2026-05-09 08:00:00
162,43,"Đi Hội An khá vui, điểm tham quan đẹp, phù hợp nhóm thích photography.",vi,9.5,Gia Huy,2026-06-25 08:00:00
163,43,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động nightlife, đáng cân nhắc.",vi,7.8,Phương Linh,2025-03-12 08:00:00
164,43,"Mình thích phần history, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,9.3,Hoàng Nam,2025-06-27 08:00:00
165,43,"Tour Hội An lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm culture rất rõ.",vi,9.4,Phương Linh,2025-11-29 08:00:00
166,44,"Đi Côn Đảo khá vui, điểm tham quan đẹp, phù hợp nhóm thích adventure.",vi,7.6,Minh Anh,2025-01-21 08:00:00
167,44,"Tour Côn Đảo lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm beach rất rõ.",vi,7.3,Minh Anh,2025-11-20 08:00:00
168,45,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động photography, đáng cân nhắc.",vi,7.9,Thu Hà,2025-06-02 08:00:00
169,45,"Gia đình mình hài lòng với tour Cao Bằng, nhịp đi vừa phải và dễ tham gia.",vi,8.7,Phương Linh,2025-05-20 08:00:00
170,45,"Tour Cao Bằng lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm mountain rất rõ.",vi,7.7,Hoàng Nam,2026-05-09 08:00:00
171,45,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động mountain, đáng cân nhắc.",vi,7.6,Phương Linh,2025-07-11 08:00:00
172,46,"Đi Hội An khá vui, điểm tham quan đẹp, phù hợp nhóm thích food.",vi,9.4,Thu Hà,2025-07-10 08:00:00
173,46,"Mình thích phần festival, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,10.0,Quốc Bảo,2025-10-19 08:00:00
174,46,"Gia đình mình hài lòng với tour Hội An, nhịp đi vừa phải và dễ tham gia.",vi,9.3,Quốc Bảo,2025-07-26 08:00:00
175,46,"Đi Hội An khá vui, điểm tham quan đẹp, phù hợp nhóm thích culture.",vi,8.6,Phương Linh,2025-03-12 08:00:00
176,46,"Gia đình mình hài lòng với tour Hội An, nhịp đi vừa phải và dễ tham gia.",vi,9.1,Phương Linh,2026-03-27 08:00:00
177,47,"Đi Côn Đảo khá vui, điểm tham quan đẹp, phù hợp nhóm thích city.",vi,9.2,Hoàng Nam,2026-05-11 08:00:00
178,47,"Mình thích phần spiritual, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,8.9,Quốc Bảo,2025-02-17 08:00:00
179,47,"Đi Côn Đảo khá vui, điểm tham quan đẹp, phù hợp nhóm thích history.",vi,8.5,Phương Linh,2026-08-01 08:00:00
180,47,"Tour Côn Đảo lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm relax rất rõ.",vi,9.6,Phương Linh,2025-05-12 08:00:00
181,47,"Mình thích phần relax, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,9.9,Gia Huy,2025-07-29 08:00:00
