id,name,destination,price,duration,description,avg_rating,review_count,source,source_url,season,image_url,created_at,updated_at,duration_label,original_price,highlights,places,topics,gallery,itinerary,included,excluded,schedule,transport
11,Tour Nha Trang 4N3Đ: Tiết Kiệm Family,Nha Trang,8160000,4,"Hành trình Nha Trang 4 ngày dành cho du khách yêu thích family, food, beach.",8.8,13,traveloka,https://synthetic.example.com/tours/11,summer,https://picsum.photos/seed/tour-11/900/600,2025-08-01 08:00:00,2025-08-01 08:00:00,4N3Đ,10179625,"[""Trải nghiệm family"", ""Trải nghiệm food"", ""Trải nghiệm beach""]","[""Nha Trang""]","[""family"", ""food"", ""beach"", ""nightlife""]","[""https://picsum.photos/seed/tour-11-1/900/600"", ""https://picsum.photos/seed/tour-11-2/900/600"", ""https://picsum.photos/seed/tour-11-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Nha Trang""}, {""day"": 2, ""title"": ""Ngày 2 tại Nha Trang""}, {""day"": 3, ""title"": ""Ngày 3 tại Nha Trang""}, {""day"": 4, ""title"": ""Ngày 4 tại Nha Trang""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""bus""}"
12,Tour Đà Lạt 4N3Đ: Khám Phá Relax,Đà Lạt,5140000,4,"Hành trình Đà Lạt 4 ngày dành cho du khách yêu thích relax, food, photography.",9.6,114,klook,https://synthetic.example.com/tours/12,winter,https://picsum.photos/seed/tour-12/900/600,2026-05-01 08:00:00,2026-05-23 08:00:00,4N3Đ,6149817,"[""Trải nghiệm relax"", ""Trải nghiệm food"", ""Trải nghiệm photography""]","[""Đà Lạt""]","[""relax"", ""food"", ""photography"", ""romantic""]","[""https://picsum.photos/seed/tour-12-1/900/600"", ""https://picsum.photos/seed/tour-12-2/900/600"", ""https://picsum.photos/seed/tour-12-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Đà Lạt""}, {""day"": 2, ""title"": ""Ngày 2 tại Đà Lạt""}, {""day"": 3, ""title"": ""Ngày 3 tại Đà Lạt""}, {""day"": 4, ""title"": ""Ngày 4 tại Đà Lạt""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""flight""}"
13,Tour Hạ Long 3N2Đ: Trọn Gói Cruise,Hạ Long,10390000,3,"Hành trình Hạ Long 3 ngày dành cho du khách yêu thích cruise, luxury, photography.",8.6,44,traveloka,https://synthetic.example.com/tours/13,summer,https://picsum.photos/seed/tour-13/900/600,2025-06-23 08:00:00,2025-07-15 08:00:00,3N2Đ,11658566,"[""Trải nghiệm cruise"", ""Trải nghiệm luxury"", ""Trải nghiệm photography""]","[""Hạ Long""]","[""cruise"", ""luxury"", ""photography"", ""beach""]","[""https://picsum.photos/seed/tour-13-1/900/600"", ""https://picsum.photos/seed/tour-13-2/900/600"", ""https://picsum.photos/seed/tour-13-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Hạ Long""}, {""day"": 2, ""title"": ""Ngày 2 tại Hạ Long""}, {""day"": 3, ""title"": ""Ngày 3 tại Hạ Long""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""flight""}"
14,Tour Đà Nẵng 5N4Đ: Cao Cấp City,Đà Nẵng,4940000,5,"Hành trình Đà Nẵng 5 ngày dành cho du khách yêu thích city, food, water_sports.",8.9,82,bestprice,https://synthetic.example.com/tours/14,summer,https://picsum.photos/seed/tour-14/900/600,2025-04-20 08:00:00,2025-05-05 08:00:00,5N4Đ,5267746,"[""Trải nghiệm city"", ""Trải nghiệm food"", ""Trải nghiệm water_sports""]","[""Đà Nẵng""]","[""city"", ""food"", ""water_sports"", ""beach""]","[""https://picsum.photos/seed/tour-14-1/900/600"", ""https://picsum.photos/seed/tour-14-2/900/600"", ""https://picsum.photos/seed/tour-14-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Đà Nẵng""}, {""day"": 2, ""title"": ""Ngày 2 tại Đà Nẵng""}, {""day"": 3, ""title"": ""Ngày 3 tại Đà Nẵng""}, {""day"": 4, ""title"": ""Ngày 4 tại Đà Nẵng""}, {""day"": 5, ""title"": ""Ngày 5 tại Đà Nẵng""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""car""}"
15,Tour Huế 3N2Đ: Ẩm Thực Food,Huế,7150000,3,"Hành trình Huế 3 ngày dành cho du khách yêu thích food, spiritual, history.",8.9,23,traveloka,https://synthetic.example.com/tours/15,spring,https://picsum.photos/seed/tour-15/900/600,2025-05-28 08:00:00,2025-06-25 08:00:00,3N2Đ,7317558,"[""Trải nghiệm food"", ""Trải nghiệm spiritual"", ""Trải nghiệm history""]","[""Huế""]","[""food"", ""spiritual"", ""history"", ""culture""]","[""https://picsum.photos/seed/tour-15-1/900/600"", ""https://picsum.photos/seed/tour-15-2/900/600"", ""https://picsum.photos/seed/tour-15-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Huế""}, {""day"": 2, ""title"": ""Ngày 2 tại Huế""}, {""day"": 3, ""title"": ""Ngày 3 tại Huế""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""car""}"
16,Tour TP. Hồ Chí Minh 3N2Đ: Nghỉ Dưỡng History,TP. Hồ Chí Minh,6240000,3,"Hành trình TP. Hồ Chí Minh 3 ngày dành cho du khách yêu thích history, city, shopping.",9.3,113,traveloka,https://synthetic.example.com/tours/16,all,https://picsum.photos/seed/tour-16/900/600,2024-11-18 08:00:00,2024-12-13 08:00:00,3N2Đ,7124571,"[""Trải nghiệm history"", ""Trải nghiệm city"", ""Trải nghiệm shopping""]","[""TP. Hồ Chí Minh""]","[""history"", ""city"", ""shopping"", ""food""]","[""https://picsum.photos/seed/tour-16-1/900/600"", ""https://picsum.photos/seed/tour-16-2/900/600"", ""https://picsum.photos/seed/tour-16-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại TP. Hồ Chí Minh""}, {""day"": 2, ""title"": ""Ngày 2 tại TP. Hồ Chí Minh""}, {""day"": 3, ""title"": ""Ngày 3 tại TP. Hồ Chí Minh""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""car""}"
17,Tour Phú Quốc 4N3Đ: Nghỉ Dưỡng Beach,Phú Quốc,11980000,4,"Hành trình Phú Quốc 4 ngày dành cho du khách yêu thích beach, luxury, water_sports.",8.3,109,bestprice,https://synthetic.example.com/tours/17,summer,https://picsum.photos/seed/tour-17/900/600,2025-03-23 08:00:00,2025-04-01 08:00:00,4N3Đ,13105478,"[""Trải nghiệm beach"", ""Trải nghiệm luxury"", ""Trải nghiệm water_sports""]","[""Phú Quốc""]","[""beach"", ""luxury"", ""water_sports"", ""relax""]","[""https://picsum.photos/seed/tour-17-1/900/600"", ""https://picsum.photos/seed/tour-17-2/900/600"", ""https://picsum.photos/seed/tour-17-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Phú Quốc""}, {""day"": 2, ""title"": ""Ngày 2 tại Phú Quốc""}, {""day"": 3, ""title"": ""Ngày 3 tại Phú Quốc""}, {""day"": 4, ""title"": ""Ngày 4 tại Phú Quốc""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""flight""}"
18,Tour Huế 2N1Đ: Ẩm Thực City,Huế,6100000,2,"Hành trình Huế 2 ngày dành cho du khách yêu thích city, history, food.",7.8,84,traveloka,https://synthetic.example.com/tours/18,spring,https://picsum.photos/seed/tour-18/900/600,2026-07-05 08:00:00,2026-07-17 08:00:00,2N1Đ,6314287,"[""Trải nghiệm city"", ""Trải nghiệm history"", ""Trải nghiệm food""]","[""Huế""]","[""city"", ""history"", ""food"", ""culture""]","[""https://picsum.photos/seed/tour-18-1/900/600"", ""https://picsum.photos/seed/tour-18-2/900/600"", ""https://picsum.photos/seed/tour-18-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Huế""}, {""day"": 2, ""title"": ""Ngày 2 tại Huế""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""cruise""}"
19,Tour Đà Nẵng 3N2Đ: Check-in Family,Đà Nẵng,5280000,3,"Hành trình Đà Nẵng 3 ngày dành cho du khách yêu thích family, beach, food.",9.2,81,klook,https://synthetic.example.com/tours/19,summer,https://picsum.photos/seed/tour-19/900/600,2025-07-03 08:00:00,2025-08-02 08:00:00,3N2Đ,5993032,"[""Trải nghiệm family"", ""Trải nghiệm beach"", ""Trải nghiệm food""]","[""Đà Nẵng""]","[""family"", ""beach"", ""food"", ""city""]","[""https://picsum.photos/seed/tour-19-1/900/600"", ""https://picsum.photos/seed/tour-19-2/900/600"", ""https://picsum.photos/seed/tour-19-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Đà Nẵng""}, {""day"": 2, ""title"": ""Ngày 2 tại Đà Nẵng""}, {""day"": 3, ""title"": ""Ngày 3 tại Đà Nẵng""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""cruise""}"
20,Tour Hội An 2N1Đ: Tiết Kiệm Food,Hội An,6490000,2,"Hành trình Hội An 2 ngày dành cho du khách yêu thích food, photography, history.",8.3,67,bestprice,https://synthetic.example.com/tours/20,autumn,https://picsum.photos/seed/tour-20/900/600,2025-10-27 08:00:00,2025-11-22 08:00:00,2N1Đ,7333846,"[""Trải nghiệm food"", ""Trải nghiệm photography"", ""Trải nghiệm history""]","[""Hội An""]","[""food"", ""photography"", ""history"", ""romantic""]","[""https://picsum.photos/seed/tour-20-1/900/600"", ""https://picsum.photos/seed/tour-20-2/900/600"", ""https://picsum.photos/seed/tour-20-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Hội An""}, {""day"": 2, ""title"": ""Ngày 2 tại Hội An""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""bus""}"
21,Tour Nha Trang 5N4Đ: Tiết Kiệm Water Sports,Nha Trang,7690000,5,"Hành trình Nha Trang 5 ngày dành cho du khách yêu thích water_sports, nightlife, food.",7.8,21,traveloka,https://synthetic.example.com/tours/21,summer,https://picsum.photos/seed/tour-21/900/600,2026-07-26 08:00:00,2026-08-22 08:00:00,5N4Đ,8495462,"[""Trải nghiệm water_sports"", ""Trải nghiệm nightlife"", ""Trải nghiệm food""]","[""Nha Trang""]","[""water_sports"", ""nightlife"", ""food"", ""family""]","[""https://picsum.photos/seed/tour-21-1/900/600"", ""https://picsum.photos/seed/tour-21-2/900/600"", ""https://picsum.photos/seed/tour-21-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Nha Trang""}, {""day"": 2, ""title"": ""Ngày 2 tại Nha Trang""}, {""day"": 3, ""title"": ""Ngày 3 tại Nha Trang""}, {""day"": 4, ""title"": ""Ngày 4 tại Nha Trang""}, {""day"": 5, ""title"": ""Ngày 5 tại Nha Trang""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""bus""}"
22,Tour Đà Lạt 3N2Đ: Check-in Food,Đà Lạt,8170000,3,"Hành trình Đà Lạt 3 ngày dành cho du khách yêu thích food, nature, romantic.",8.5,27,bestprice,https://synthetic.example.com/tours/22,winter,https://picsum.photos/seed/tour-22/900/600,2025-05-18 08:00:00,2025-05-21 08:00:00,3N2Đ,9984378,"[""Trải nghiệm food"", ""Trải nghiệm nature"", ""Trải nghiệm romantic""]","[""Đà Lạt""]","[""food"", ""nature"", ""romantic"", ""photography""]","[""https://picsum.photos/seed/tour-22-1/900/600"", ""https://picsum.photos/seed/tour-22-2/900/600"", ""https://picsum.photos/seed/tour-22-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Đà Lạt""}, {""day"": 2, ""title"": ""Ngày 2 tại Đà Lạt""}, {""day"": 3, ""title"": ""Ngày 3 tại Đà Lạt""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""cruise""}"
